




Analysis Type:	PANTHER Overrepresentation Test (Released 20210224)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.4735677 Released 2021-05-01
Analyzed List:	Client Text Box Input (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20595)	Client Text Box Input (2507)	Client Text Box Input (expected)	Client Text Box Input (over/under)	Client Text Box Input (fold Enrichment)	Client Text Box Input (raw P-value)	Client Text Box Input (FDR)
dentate gyrus development (GO:0021542)	15	8	1.83	+	4.38	2.08E-03	2.87E-02
regulation of response to external stimulus (GO:0032101)	1199	186	145.95	+	1.27	2.08E-03	2.88E-02
embryonic camera-type eye development (GO:0031076)	37	13	4.50	+	2.89	2.10E-03	2.88E-02
animal organ formation (GO:0048645)	37	13	4.50	+	2.89	2.10E-03	2.88E-02
negative regulation of hormone secretion (GO:0046888)	65	19	7.91	+	2.40	2.13E-03	2.92E-02
regulation of regulated secretory pathway (GO:1903305)	144	33	17.53	+	1.88	2.14E-03	2.94E-02
posttranscriptional regulation of gene expression (GO:0010608)	581	45	70.72	-	.64	2.14E-03	2.94E-02
negative regulation of defense response (GO:0031348)	402	73	48.93	+	1.49	2.18E-03	2.98E-02
odontogenesis of dentin-containing tooth (GO:0042475)	82	22	9.98	+	2.20	2.18E-03	2.98E-02
female pregnancy (GO:0007565)	182	39	22.15	+	1.76	2.18E-03	2.98E-02
protein targeting to ER (GO:0045047)	112	3	13.63	-	.22	2.22E-03	3.03E-02
adult walking behavior (GO:0007628)	28	11	3.41	+	3.23	2.25E-03	3.05E-02
forebrain neuron fate commitment (GO:0021877)	8	6	.97	+	6.16	2.25E-03	3.06E-02
mesenchymal to epithelial transition involved in metanephros morphogenesis (GO:0003337)	8	6	.97	+	6.16	2.25E-03	3.06E-02
nuclear chromosome segregation (GO:0098813)	227	12	27.63	-	.43	2.26E-03	3.06E-02
calcitonin family receptor signaling pathway (GO:0097646)	8	6	.97	+	6.16	2.25E-03	3.06E-02
interneuron migration (GO:1904936)	8	6	.97	+	6.16	2.25E-03	3.06E-02
glial cell development (GO:0021782)	111	27	13.51	+	2.00	2.24E-03	3.06E-02
paraxial mesoderm formation (GO:0048341)	8	6	.97	+	6.16	2.25E-03	3.07E-02
regulation of serotonin secretion (GO:0014062)	8	6	.97	+	6.16	2.25E-03	3.07E-02
positive regulation of AMPA receptor activity (GO:2000969)	8	6	.97	+	6.16	2.25E-03	3.07E-02
regulation of sodium ion transmembrane transport (GO:1902305)	66	19	8.03	+	2.36	2.28E-03	3.09E-02
protein transmembrane transport (GO:0071806)	58	0	7.06	-	 < 0.01	2.31E-03	3.13E-02
regulation of phospholipase activity (GO:0010517)	73	20	8.89	+	2.25	2.33E-03	3.15E-02
sinoatrial node cell development (GO:0060931)	5	5	.61	+	8.21	2.36E-03	3.18E-02
negative regulation of apoptotic process involved in development (GO:1904746)	5	5	.61	+	8.21	2.36E-03	3.18E-02
negative regulation of apoptotic process involved in morphogenesis (GO:1902338)	5	5	.61	+	8.21	2.36E-03	3.19E-02
Wnt signaling pathway (GO:0016055)	350	65	42.61	+	1.53	2.39E-03	3.22E-02
cell-cell signaling by wnt (GO:0198738)	350	65	42.61	+	1.53	2.39E-03	3.22E-02
positive regulation of vasoconstriction (GO:0045907)	33	12	4.02	+	2.99	2.44E-03	3.28E-02
positive regulation of MAP kinase activity (GO:0043406)	232	47	28.24	+	1.66	2.50E-03	3.35E-02
diacylglycerol metabolic process (GO:0046339)	24	10	2.92	+	3.42	2.51E-03	3.37E-02
cellular response to vitamin (GO:0071295)	24	10	2.92	+	3.42	2.51E-03	3.37E-02
lymph vessel development (GO:0001945)	24	10	2.92	+	3.42	2.51E-03	3.37E-02
somatic stem cell population maintenance (GO:0035019)	52	16	6.33	+	2.53	2.52E-03	3.38E-02
stem cell development (GO:0048864)	84	22	10.23	+	2.15	2.53E-03	3.39E-02
forelimb morphogenesis (GO:0035136)	38	13	4.63	+	2.81	2.54E-03	3.39E-02
cardiac muscle cell action potential involved in contraction (GO:0086002)	38	13	4.63	+	2.81	2.54E-03	3.39E-02
negative regulation of hemopoiesis (GO:1903707)	104	26	12.66	+	2.05	2.55E-03	3.40E-02
response to organophosphorus (GO:0046683)	136	31	16.56	+	1.87	2.56E-03	3.41E-02
vesicle targeting (GO:0006903)	94	2	11.44	-	.17	2.57E-03	3.42E-02
negative regulation of muscle cell differentiation (GO:0051148)	58	17	7.06	+	2.41	2.58E-03	3.44E-02
regulation of establishment of protein localization (GO:0070201)	581	99	70.72	+	1.40	2.59E-03	3.45E-02
hematopoietic or lymphoid organ development (GO:0048534)	633	106	77.05	+	1.38	2.62E-03	3.48E-02
protein acetylation (GO:0006473)	138	5	16.80	-	.30	2.64E-03	3.50E-02
response to ionizing radiation (GO:0010212)	148	6	18.02	-	.33	2.66E-03	3.53E-02
regulation of biomineralization (GO:0110149)	95	24	11.56	+	2.08	2.68E-03	3.55E-02
chromatin assembly (GO:0031497)	150	6	18.26	-	.33	2.68E-03	3.55E-02
activation of innate immune response (GO:0002218)	150	6	18.26	-	.33	2.68E-03	3.55E-02
telencephalon regionalization (GO:0021978)	12	7	1.46	+	4.79	2.72E-03	3.55E-02
nitric oxide mediated signal transduction (GO:0007263)	20	9	2.43	+	3.70	2.72E-03	3.55E-02
regulation of apoptotic process involved in development (GO:1904748)	12	7	1.46	+	4.79	2.72E-03	3.56E-02
trabecula formation (GO:0060343)	20	9	2.43	+	3.70	2.72E-03	3.56E-02
inhibitory synapse assembly (GO:1904862)	12	7	1.46	+	4.79	2.72E-03	3.56E-02
regulation of steroid hormone secretion (GO:2000831)	20	9	2.43	+	3.70	2.72E-03	3.56E-02
midbrain dopaminergic neuron differentiation (GO:1904948)	12	7	1.46	+	4.79	2.72E-03	3.56E-02
peripheral nervous system neuron differentiation (GO:0048934)	12	7	1.46	+	4.79	2.72E-03	3.56E-02
peripheral nervous system neuron development (GO:0048935)	12	7	1.46	+	4.79	2.72E-03	3.57E-02
ventricular cardiac muscle tissue morphogenesis (GO:0055010)	46	15	5.60	+	2.68	2.71E-03	3.57E-02
transcription elongation from RNA polymerase II promoter (GO:0006368)	75	1	9.13	-	.11	2.70E-03	3.57E-02
renal system process (GO:0003014)	116	28	14.12	+	1.98	2.71E-03	3.57E-02
regulation of apoptotic process involved in morphogenesis (GO:1902337)	12	7	1.46	+	4.79	2.72E-03	3.57E-02
positive regulation of signaling receptor activity (GO:2000273)	46	15	5.60	+	2.68	2.71E-03	3.57E-02
mechanoreceptor differentiation (GO:0042490)	68	19	8.28	+	2.30	2.70E-03	3.57E-02
cardioblast differentiation (GO:0010002)	12	7	1.46	+	4.79	2.72E-03	3.57E-02
cranial nerve structural organization (GO:0021604)	12	7	1.46	+	4.79	2.72E-03	3.58E-02
mitochondrial transport (GO:0006839)	235	13	28.61	-	.45	2.75E-03	3.58E-02
negative regulation of developmental growth (GO:0048640)	106	26	12.90	+	2.01	2.76E-03	3.60E-02
walking behavior (GO:0090659)	29	11	3.53	+	3.12	2.81E-03	3.65E-02
regulation of excitatory synapse assembly (GO:1904889)	16	8	1.95	+	4.11	2.83E-03	3.66E-02
vascular associated smooth muscle cell differentiation (GO:0035886)	16	8	1.95	+	4.11	2.83E-03	3.67E-02
stress response to copper ion (GO:1990169)	16	8	1.95	+	4.11	2.83E-03	3.67E-02
preganglionic parasympathetic fiber development (GO:0021783)	16	8	1.95	+	4.11	2.83E-03	3.67E-02
detoxification of copper ion (GO:0010273)	16	8	1.95	+	4.11	2.83E-03	3.67E-02
transmission of nerve impulse (GO:0019226)	53	16	6.45	+	2.48	2.85E-03	3.69E-02
aminoglycan metabolic process (GO:0006022)	166	36	20.21	+	1.78	2.87E-03	3.72E-02
response to ethanol (GO:0045471)	141	32	17.16	+	1.86	2.89E-03	3.73E-02
cerebral cortex development (GO:0021987)	118	28	14.36	+	1.95	2.91E-03	3.76E-02
response to purine-containing compound (GO:0014074)	154	34	18.75	+	1.81	2.95E-03	3.80E-02
long-term memory (GO:0007616)	34	12	4.14	+	2.90	2.98E-03	3.83E-02
response to morphine (GO:0043278)	34	12	4.14	+	2.90	2.98E-03	3.83E-02
activation of protein kinase B activity (GO:0032148)	34	12	4.14	+	2.90	2.98E-03	3.84E-02
response to isoquinoline alkaloid (GO:0014072)	34	12	4.14	+	2.90	2.98E-03	3.84E-02
negative regulation of insulin secretion (GO:0046676)	39	13	4.75	+	2.74	3.05E-03	3.92E-02
embryonic axis specification (GO:0000578)	39	13	4.75	+	2.74	3.05E-03	3.92E-02
regulation of oligodendrocyte differentiation (GO:0048713)	39	13	4.75	+	2.74	3.05E-03	3.92E-02
positive regulation of lipid kinase activity (GO:0090218)	39	13	4.75	+	2.74	3.05E-03	3.93E-02
positive regulation of osteoblast differentiation (GO:0045669)	62	18	7.55	+	2.38	3.07E-03	3.93E-02
neural crest cell development (GO:0014032)	79	21	9.62	+	2.18	3.07E-03	3.93E-02
response to cAMP (GO:0051591)	97	24	11.81	+	2.03	3.08E-03	3.93E-02
positive regulation of endothelial cell migration (GO:0010595)	108	26	13.15	+	1.98	3.08E-03	3.94E-02
regulation of ERK1 and ERK2 cascade (GO:0070372)	294	56	35.79	+	1.56	3.09E-03	3.95E-02
regulation of wound healing (GO:0061041)	131	30	15.95	+	1.88	3.11E-03	3.97E-02
cell proliferation in forebrain (GO:0021846)	25	10	3.04	+	3.29	3.18E-03	4.05E-02
negative regulation of protein phosphorylation (GO:0001933)	353	65	42.97	+	1.51	3.18E-03	4.05E-02
chondroitin sulfate biosynthetic process (GO:0030206)	25	10	3.04	+	3.29	3.18E-03	4.05E-02
vesicle organization (GO:0016050)	313	20	38.10	-	.52	3.23E-03	4.11E-02
negative regulation of phosphorylation (GO:0042326)	395	71	48.08	+	1.48	3.25E-03	4.12E-02
neuron recognition (GO:0008038)	48	15	5.84	+	2.57	3.26E-03	4.13E-02
catechol-containing compound metabolic process (GO:0009712)	48	15	5.84	+	2.57	3.26E-03	4.14E-02
catecholamine metabolic process (GO:0006584)	48	15	5.84	+	2.57	3.26E-03	4.14E-02
regulation of cell size (GO:0008361)	185	39	22.52	+	1.73	3.28E-03	4.15E-02
positive regulation of cell death (GO:0010942)	638	106	77.66	+	1.36	3.29E-03	4.16E-02
positive regulation of insulin secretion (GO:0032024)	80	21	9.74	+	2.16	3.29E-03	4.16E-02
hypothalamus cell differentiation (GO:0021979)	9	6	1.10	+	5.48	3.41E-03	4.27E-02
regulation of Wnt signaling pathway involved in heart development (GO:0003307)	9	6	1.10	+	5.48	3.41E-03	4.28E-02
cardiac pacemaker cell differentiation (GO:0060920)	9	6	1.10	+	5.48	3.41E-03	4.28E-02
primitive streak formation (GO:0090009)	9	6	1.10	+	5.48	3.41E-03	4.28E-02
receptor diffusion trapping (GO:0098953)	9	6	1.10	+	5.48	3.41E-03	4.29E-02
postsynaptic neurotransmitter receptor diffusion trapping (GO:0098970)	9	6	1.10	+	5.48	3.41E-03	4.29E-02
neurotransmitter receptor diffusion trapping (GO:0099628)	9	6	1.10	+	5.48	3.41E-03	4.29E-02
negative regulation of mesenchymal cell apoptotic process (GO:2001054)	9	6	1.10	+	5.48	3.41E-03	4.30E-02
spinal cord motor neuron cell fate specification (GO:0021520)	9	6	1.10	+	5.48	3.41E-03	4.30E-02
mitotic sister chromatid segregation (GO:0000070)	121	4	14.73	-	.27	3.44E-03	4.30E-02
regulation of systemic arterial blood pressure by norepinephrine-epinephrine (GO:0001993)	9	6	1.10	+	5.48	3.41E-03	4.30E-02
regulation of heart morphogenesis (GO:2000826)	9	6	1.10	+	5.48	3.41E-03	4.31E-02
regulation of lipid transport (GO:0032368)	133	30	16.19	+	1.85	3.44E-03	4.31E-02
facial nerve structural organization (GO:0021612)	9	6	1.10	+	5.48	3.41E-03	4.31E-02
positive regulation of synaptic transmission, glutamatergic (GO:0051968)	30	11	3.65	+	3.01	3.47E-03	4.32E-02
cranial nerve morphogenesis (GO:0021602)	30	11	3.65	+	3.01	3.47E-03	4.33E-02
olfactory bulb development (GO:0021772)	30	11	3.65	+	3.01	3.47E-03	4.33E-02
regulation of telomere maintenance via telomerase (GO:0032210)	54	0	6.57	-	 < 0.01	3.49E-03	4.34E-02
nuclear DNA replication (GO:0033260)	54	0	6.57	-	 < 0.01	3.49E-03	4.34E-02
inner mitochondrial membrane organization (GO:0007007)	54	0	6.57	-	 < 0.01	3.49E-03	4.35E-02
linoleic acid metabolic process (GO:0043651)	21	9	2.56	+	3.52	3.52E-03	4.38E-02
reactive oxygen species metabolic process (GO:0072593)	101	25	12.29	+	2.03	3.53E-03	4.38E-02
blastoderm segmentation (GO:0007350)	21	9	2.56	+	3.52	3.52E-03	4.38E-02
cell cycle DNA replication (GO:0044786)	55	0	6.70	-	 < 0.01	3.58E-03	4.44E-02
protein import (GO:0017038)	158	7	19.23	-	.36	3.62E-03	4.48E-02
gene silencing by RNA (GO:0031047)	89	2	10.83	-	.18	3.63E-03	4.49E-02
RNA methylation (GO:0001510)	88	2	10.71	-	.19	3.63E-03	4.50E-02
skeletal muscle cell differentiation (GO:0035914)	49	15	5.96	+	2.51	3.64E-03	4.50E-02
protein folding (GO:0006457)	233	13	28.36	-	.46	3.64E-03	4.50E-02
mitochondrial membrane organization (GO:0007006)	146	6	17.77	-	.34	3.65E-03	4.50E-02
response to glucocorticoid (GO:0051384)	149	33	18.14	+	1.82	3.70E-03	4.57E-02
regulation of phagocytosis (GO:0050764)	92	23	11.20	+	2.05	3.72E-03	4.58E-02
negative regulation of response to wounding (GO:1903035)	92	23	11.20	+	2.05	3.72E-03	4.59E-02
mammary gland epithelial cell differentiation (GO:0060644)	17	8	2.07	+	3.87	3.77E-03	4.61E-02
mesenchymal cell proliferation (GO:0010463)	17	8	2.07	+	3.87	3.77E-03	4.62E-02
regulation of dopamine metabolic process (GO:0042053)	17	8	2.07	+	3.87	3.77E-03	4.62E-02
regulation of catecholamine metabolic process (GO:0042069)	17	8	2.07	+	3.87	3.77E-03	4.62E-02
stabilization of membrane potential (GO:0030322)	17	8	2.07	+	3.87	3.77E-03	4.63E-02
positive regulation of voltage-gated potassium channel activity (GO:1903818)	17	8	2.07	+	3.87	3.77E-03	4.63E-02
reflex (GO:0060004)	17	8	2.07	+	3.87	3.77E-03	4.63E-02
atrioventricular canal development (GO:0036302)	13	7	1.58	+	4.42	3.79E-03	4.63E-02
metanephric nephron epithelium development (GO:0072243)	17	8	2.07	+	3.87	3.77E-03	4.64E-02
regulation of postsynaptic density assembly (GO:0099151)	13	7	1.58	+	4.42	3.79E-03	4.64E-02
negative regulation of amino acid transport (GO:0051956)	13	7	1.58	+	4.42	3.79E-03	4.64E-02
response to monoamine (GO:0071867)	103	25	12.54	+	1.99	3.81E-03	4.64E-02
response to catecholamine (GO:0071869)	103	25	12.54	+	1.99	3.81E-03	4.65E-02
positive regulation of protein secretion (GO:0050714)	138	31	16.80	+	1.85	3.88E-03	4.73E-02
positive regulation of lipase activity (GO:0060193)	74	20	9.01	+	2.22	3.91E-03	4.76E-02
cerebral cortex GABAergic interneuron migration (GO:0021853)	6	5	.73	+	6.85	3.94E-03	4.77E-02
biological process involved in interspecies interaction between organisms (GO:0044419)	1593	154	193.91	-	.79	3.95E-03	4.78E-02
corticospinal tract morphogenesis (GO:0021957)	6	5	.73	+	6.85	3.94E-03	4.78E-02
pancreatic A cell differentiation (GO:0003310)	6	5	.73	+	6.85	3.94E-03	4.78E-02
stem cell fate commitment (GO:0048865)	6	5	.73	+	6.85	3.94E-03	4.78E-02
regulation of heart induction (GO:0090381)	6	5	.73	+	6.85	3.94E-03	4.79E-02
development of primary female sexual characteristics (GO:0046545)	93	23	11.32	+	2.03	3.96E-03	4.79E-02
regulation of microvillus assembly (GO:0032534)	6	5	.73	+	6.85	3.94E-03	4.79E-02
negative regulation of blood vessel morphogenesis (GO:2000181)	104	25	12.66	+	1.97	4.00E-03	4.79E-02
axis elongation (GO:0003401)	26	10	3.16	+	3.16	3.98E-03	4.79E-02
glomerular mesangial cell differentiation (GO:0072008)	6	5	.73	+	6.85	3.94E-03	4.80E-02
cerebellum development (GO:0021549)	104	25	12.66	+	1.97	4.00E-03	4.80E-02
negative regulation of anion transport (GO:1903792)	26	10	3.16	+	3.16	3.98E-03	4.80E-02
cell communication involved in cardiac conduction (GO:0086065)	43	14	5.23	+	2.67	3.99E-03	4.80E-02
negative regulation of stem cell population maintenance (GO:1902455)	6	5	.73	+	6.85	3.94E-03	4.80E-02
negative regulation of inflammatory response to antigenic stimulus (GO:0002862)	208	42	25.32	+	1.66	4.00E-03	4.80E-02
opsonization (GO:0008228)	72	1	8.76	-	.11	4.00E-03	4.80E-02
developmental induction (GO:0031128)	26	10	3.16	+	3.16	3.98E-03	4.80E-02
modulation of excitatory postsynaptic potential (GO:0098815)	43	14	5.23	+	2.67	3.99E-03	4.80E-02
regulation of non-canonical Wnt signaling pathway (GO:2000050)	26	10	3.16	+	3.16	3.98E-03	4.80E-02
pharyngeal system development (GO:0060037)	26	10	3.16	+	3.16	3.98E-03	4.81E-02
ribosomal small subunit biogenesis (GO:0042274)	73	1	8.89	-	.11	4.08E-03	4.88E-02
transcription-coupled nucleotide-excision repair (GO:0006283)	73	1	8.89	-	.11	4.08E-03	4.88E-02
endoderm development (GO:0007492)	75	20	9.13	+	2.19	4.09E-03	4.89E-02
regulation of response to biotic stimulus (GO:0002831)	434	32	52.83	-	.61	4.13E-03	4.94E-02
